ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,HasReferences,NumberOfReferences,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,TotalNumberOfActivities,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
10115,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,780,0.03,1,12.05,0.0,0.0551,0.0,0.0109,0
10116,1.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,194,0.0,1,10.27,0.0,0.0412,0.0,0.0,0
10117,1.3333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,53,0.33,1,110.1,0.0,0.283,0.0,0.0438,1
10118,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,493,0.0,1,30.29,100.0,0.0223,0.0223,0.0,0
10119,0.8333333333333334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,112,0.23,1,33.83,0.0,0.1696,0.0,0.0333,1
10120,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,205,0.28,1,19.14,0.0,0.1024,0.0,0.0444,0
10121,-1.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,462,0.6,1,36.69,88.06,0.145,0.1277,0.0164,1
10122,-1.3333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,52,0.47,1,114.35,85.71,0.1346,0.1154,0.0383,0
10123,-0.08333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,328,0.11,1,17.12,70.59,0.0518,0.0366,0.0027,1
10124,-1.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,251,0.18,1,30.42,81.25,0.0637,0.0518,0.0111,0
10125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,180,221,0.03,1,6.44,0.0,0.0045,0.0,0.0056,0
10126,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,183,368,0.17,1,42.58,108.82,0.0924,0.1005,0.0164,1
10127,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,539,0.07,1,9.72,0.0,0.0519,0.0,0.0111,1
10128,0.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,165,0.29,1,37.72,100.0,0.1152,0.1152,0.0137,0
10129,0.5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,602,0.02,1,21.17,0.0,0.0615,0.0,0.0027,0
10130,1.4166666666666667,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,183,480,0.03,2,40.42,4.7,0.3104,0.0146,0.0109,0
10131,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,153,0.03,1,10.9,0.0,0.0065,0.0,0.0056,1
10132,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,324,0.03,1,7.12,0.0,0.0309,0.0,0.0027,0
10133,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,28,0.11,1,38.5,0.0,0.1071,0.0,0.0167,0
10134,-0.16666666666666666,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,280,0.05,2,12.96,0.0,0.0143,0.0,0.0082,0
10135,-0.08333333333333333,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,365,670,0.35,1,25.8,92.41,0.1179,0.109,0.0164,0
10136,2.8333333333333335,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,103,0.0,1,46.12,0.0,0.0777,0.0,0.0,0
10137,0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,417,0.0,1,17.48,62.5,0.0384,0.024,0.0,0
10138,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,258,0.07,1,16.08,0.0,0.0698,0.0,0.0219,0
10139,2.4166666666666665,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,246,0.06,1,29.46,0.0,0.0732,0.0,0.0164,1
10140,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,56,0.38,1,123.8,100.0,0.0893,0.0893,0.0328,0
10141,0.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,131,0.08,1,19.8,0.0,0.0458,0.0,0.0167,1
10142,-1.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,590,0.29,1,41.08,92.31,0.0661,0.061,0.0273,1
10143,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,43,0.03,1,50.7,0.0,0.0233,0.0,0.0027,1
10144,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,394,0.07,1,16.43,0.0,0.0508,0.0,0.0109,0
10145,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,36,0.27,1,45.1,0.0,0.1944,0.0,0.0328,0
10146,-1.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,140,0.28,1,58.4,62.5,0.1143,0.0714,0.0137,1
